spin_half,charge_1_3,has_charge,Strong,EM,Weak,logMass,stable_band,novelty,novelty_norm,propagation_fraction,measurability,score_v02,universal_potential_speed_mps
0,-6,1,1,1,1,1,1,1.3036665544765544,0.7395138271014813,0.0,1.0,0.7567326049058147,299792458
0,-6,1,1,1,1,4,0,1.3036665544765544,0.7395138271014813,0.0,1.0,0.7567326049058147,299792458
0,-4,1,1,1,0,-3,0,1.5269684518879965,0.8661833655557085,0.0,0.8,0.7564008510556397,299792458
0,6,1,1,1,0,0,0,1.5269684518879965,0.8661833655557085,0.0,0.8,0.7564008510556397,299792458
0,5,1,1,1,0,-4,1,1.5269684518879965,0.8661833655557085,0.0,0.8,0.7564008510556397,299792458
0,-4,1,1,1,0,-4,1,1.5269684518879965,0.8661833655557085,0.0,0.8,0.7564008510556397,299792458
0,-5,1,1,1,1,-6,0,1.3017082793177757,0.7384029820374475,0.0,1.0,0.7561216401205961,299792458
0,-5,1,1,1,1,-7,1,1.3017082793177757,0.7384029820374475,0.0,1.0,0.7561216401205961,299792458
0,-6,1,1,1,1,3,0,1.3017082793177759,0.7384029820374476,0.0,1.0,0.7561216401205961,299792458
0,-6,1,1,1,1,1,0,1.3017082793177759,0.7384029820374476,0.0,1.0,0.7561216401205961,299792458
0,-6,1,1,1,1,0,1,1.3017082793177759,0.7384029820374476,0.0,1.0,0.7561216401205961,299792458
0,6,1,1,1,1,-7,1,1.3017082793177759,0.7384029820374476,0.0,1.0,0.7561216401205961,299792458
0,2,1,1,1,0,-5,0,1.52529689314733,0.8652351623535243,0.0,0.8,0.7558793392944383,299792458
0,-1,1,1,1,0,-7,0,1.52529689314733,0.8652351623535243,0.0,0.8,0.7558793392944383,299792458
0,-4,1,1,1,0,-2,0,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
0,-4,1,1,1,0,-3,1,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
0,6,1,1,1,0,1,0,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
0,5,1,1,1,0,-3,1,1.5152288168283161,0.8595239767557521,0.0,0.8,0.7527381872156637,299792458
